Blue Streak/Bluestreak, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Streak/Bluestreak 
Bob, Agent of Hydra, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bob,_Agent_of_Hydra 
Elias Bogan, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Elias_Bogan 
Barnell Bohusk, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Barnell_Bohusk 
Ahura Boltagon, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Ahura_Boltagon 
Bomblast, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bomblast 
Bombshell, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bombshell 
Bonebreaker, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bonebreaker 
Alexander Bont, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Alexander_Bont 
B.O., https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#B.O. 
Boom-Boom, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Boom-Boom 
Boomerang, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Boomerang 
Bor, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bor 
Bova, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bova 
Melissa Bowen, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Melissa_Bowen 
Box, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Box 
Boy-Spider, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Boy-Spider 
Jamie Braddock, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Jamie_Braddock 
Chris Bradley, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Chris_Bradley 
Isaiah Bradley, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Isaiah_Bradley 
Brain Drain, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Brain_Drain 
Brainchild, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Brainchild 
Abigail Brand, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Abigail_Brand 
Ellen Brandt, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Ellen_Brandt 
Betty Brant, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Betty_Brant 
G. W. Bridge, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#G._W._Bridge 
Brimstone Love, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Brimstone_Love 
